location_id,location_name,ISO3,Religion
160,Afghanistan,AFG,Islam 
168,Angola,AGO,Christianity
43,Albania,ALB,Islam 
74,Andorra,AND,Christianity
156,United Arab Emirates,ARE,Islam 
97,Argentina,ARG,Christianity
33,Armenia,ARM,Christianity
298,American Samoa,ASM,Christianity
105,Antigua and Barbuda,ATG,Christianity
71,Australia,AUS,Christianity
75,Austria,AUT,Christianity
34,Azerbaijan,AZE,Islam 
175,Burundi,BDI,Christianity
76,Belgium,BEL,Christianity
200,Benin,BEN,Christianity
201,Burkina Faso,BFA,Islam 
161,Bangladesh,BGD,Islam 
45,Bulgaria,BGR,Christianity
140,Bahrain,BHR,Islam 
106,Bahamas,BHS,Christianity
44,Bosnia and Herzegovina,BIH,Islam 
57,Belarus,BLR,Christianity
108,Belize,BLZ,Christianity
305,Bermuda,BMU,Christianity
121,Bolivia (Plurinational State of),BOL,Christianity
135,Brazil,BRA,Christianity
107,Barbados,BRB,Christianity
66,Brunei Darussalam,BRN,Islam 
162,Bhutan,BTN,Buddhism
193,Botswana,BWA,Christianity
169,Central African Republic,CAF,Christianity
101,Canada,CAN,Christianity
94,Switzerland,CHE,Christianity
98,Chile,CHL,Christianity
6,China,CHN,Buddhism
205,C̫te d'Ivoire,CIV,Muslim
202,Cameroon,CMR,Christianity
171,Democratic Republic of the Congo,COD,Christianity
170,Congo,COG,Christianity
320,Cook Islands,COK,Christianity
125,Colombia,COL,Christianity
176,Comoros,COM,Islam 
203,Cabo Verde,CPV,Christianity
126,Costa Rica,CRI,Christianity
109,Cuba,CUB,Christianity
77,Cyprus,CYP,Christianity
47,Czechia,CZE,Christianity
81,Germany,DEU,Christianity
177,Djibouti,DJI,Islam 
110,Dominica,DMA,Christianity
78,Denmark,DNK,Christianity
111,Dominican Republic,DOM,Christianity
139,Algeria,DZA,Islam 
122,Ecuador,ECU,Christianity
141,Egypt,EGY,Islam 
178,Eritrea,ERI,Christianity
92,Spain,ESP,Christianity
58,Estonia,EST,Christianity
179,Ethiopia,ETH,Christianity
79,Finland,FIN,Christianity
22,Fiji,FJI,Christianity
80,France,FRA,Christianity
25,Micronesia (Federated States of),FSM,Roman Catholic
173,Gabon,GAB,Christianity
95,United Kingdom,GBR,Christianity
35,Georgia,GEO,Christianity
207,Ghana,GHA,Christianity
208,Guinea,GIN,Islam 
206,Gambia,GMB,Islam 
209,Guinea-Bissau,GNB,Islam 
172,Equatorial Guinea,GNQ,Christianity
82,Greece,GRC,Christianity
112,Grenada,GRD,Christianity
349,Greenland,GRL,Christianity
128,Guatemala,GTM,Christianity
351,Guam,GUM,Christianity
113,Guyana,GUY,Christianity
129,Honduras,HND,Christianity
46,Croatia,HRV,Christianity
114,Haiti,HTI,Christianity
48,Hungary,HUN,Christianity
11,Indonesia,IDN,Islam 
163,India,IND,Hindu
84,Ireland,IRL,Christianity
142,Iran (Islamic Republic of),IRN,Islam 
143,Iraq,IRQ,Islam 
83,Iceland,ISL,Christianity
85,Israel,ISR,Judaism
86,Italy,ITA,Christianity
115,Jamaica,JAM,Christianity
144,Jordan,JOR,Islam 
67,Japan,JPN,Shintoism
36,Kazakhstan,KAZ,Islam 
180,Kenya,KEN,Christianity
37,Kyrgyzstan,KGZ,Islam 
10,Cambodia,KHM,Buddhism
23,Kiribati,KIR,Christianity
393,Saint Kitts and Nevis,KNA,Christianity
68,Republic of Korea,KOR,None
145,Kuwait,KWT,Islam 
12,Lao People's Democratic Republic,LAO,Buddhism
146,Lebanon,LBN,Islam 
210,Liberia,LBR,Christianity
147,Libya,LBY,Islam 
116,Saint Lucia,LCA,Christianity
17,Sri Lanka,LKA,Buddhism
194,Lesotho,LSO,Christianity
60,Lithuania,LTU,Christianity
87,Luxembourg,LUX,Christianity
59,Latvia,LVA,Christianity
148,Morocco,MAR,Islam 
367,Monaco,MCO,Christianity
61,Republic of Moldova,MDA,Christianity
181,Madagascar,MDG,Christianity
14,Maldives,MDV,Islam 
130,Mexico,MEX,Christianity
24,Marshall Islands,MHL,Christianity
49,North Macedonia,MKD,Christianity
211,Mali,MLI,Islam 
88,Malta,MLT,Christianity
15,Myanmar,MMR,Buddhism
50,Montenegro,MNE,Christianity
38,Mongolia,MNG,Buddhism
376,Northern Mariana Islands,MNP,Christianity
184,Mozambique,MOZ,Christianity
212,Mauritania,MRT,Islam 
183,Mauritius,MUS,Hinduism
182,Malawi,MWI,Christianity
13,Malaysia,MYS,Islam 
195,Namibia,NAM,Christianity
213,Niger,NER,Islam 
214,Nigeria,NGA,Islam 
131,Nicaragua,NIC,Christianity
374,Niue,NIU,Christianity
89,Netherlands,NLD,Christianity
90,Norway,NOR,Christianity
164,Nepal,NPL,Hinuism
369,Nauru,NRU,Christianity
72,New Zealand,NZL,Christianity
150,Oman,OMN,Islam 
165,Pakistan,PAK,Islam 
132,Panama,PAN,Christianity
123,Peru,PER,Christianity
16,Philippines,PHL,Christianity
380,Palau,PLW,Christianity
26,Papua New Guinea,PNG,Christianity
51,Poland,POL,Christianity
385,Puerto Rico,PRI,Christianity
7,Democratic People's Republic of Korea,PRK,None
91,Portugal,PRT,Christianity
136,Paraguay,PRY,Christianity
149,Palestine,PSE,Muslim
151,Qatar,QAT,Islam 
52,Romania,ROU,Christianity
62,Russian Federation,RUS,Christianity
185,Rwanda,RWA,Christianity
152,Saudi Arabia,SAU,Islam 
522,Sudan,SDN,Islam 
216,Senegal,SEN,Islam 
69,Singapore,SGP,Buddhism
28,Solomon Islands,SLB,Christianity
217,Sierra Leone,SLE,Islam 
127,El Salvador,SLV,Christianity
396,San Marino,SMR,Christianity
187,Somalia,SOM,Islam 
53,Serbia,SRB,Christianity
435,South Sudan,SSD,Christianity
215,Sao Tome and Principe,STP,Christianity
118,Suriname,SUR,Christianity
54,Slovakia,SVK,Christianity
55,Slovenia,SVN,Christianity
93,Sweden,SWE,Christianity
197,Eswatini,SWZ,Christianity
186,Seychelles,SYC,Christianity
153,Syrian Arab Republic,SYR,Islam 
204,Chad,TCD,Islam 
218,Togo,TGO,Christianity
18,Thailand,THA,Buddhism
39,Tajikistan,TJK,Islam 
413,Tokelau,TKL,Christianity
40,Turkmenistan,TKM,Islam 
19,Timor-Leste,TLS,Christianity
29,Tonga,TON,Christianity
119,Trinidad and Tobago,TTO,Christianity
154,Tunisia,TUN,Muslim
155,Turkey,TUR,Islam 
416,Tuvalu,TUV,Christianity
8,Taiwan (Province of China),TWN,Folk 
189,United Republic of Tanzania,TZA,Christianity
190,Uganda,UGA,Christianity
63,Ukraine,UKR,Christianity
99,Uruguay,URY,Christianity
102,United States of America,USA,Christianity
41,Uzbekistan,UZB,Islam 
117,Saint Vincent and the Grenadines,VCT,Christianity
133,Venezuela (Bolivarian Republic of),VEN,Christianity
422,United States Virgin Islands,VIR,Christianity
20,Viet Nam,VNM,Folk 
30,Vanuatu,VUT,Christianity
27,Samoa,WSM,Christianity
157,Yemen,YEM,Islam 
196,South Africa,ZAF,Christianity
191,Zambia,ZMB,Christianity
198,Zimbabwe,ZWE,Christianity
